"Kreis";"Ort";"Typ";"Hersteller";"Nabenhoehe";"Rotordurchmesser";"Schallleistungspegel";"Leistung";"Leistungsbezug";"Ostwert";"Nordwert";"Genehmigt_am";"Iinbetriebnahme";"Status";"Bst_Nr";"Anl_Nr";"Datendatum";"Datenquelle"
"Schleswig-Flensburg";"Lindewitt";"Enercon E-115";"Enercon";"122";"115";"HZ /dB(A) | 63/81,4 | 125/86,7 | 250/89,5 | 500/91,4 | 1000/92,5 | 2000/93,0 | 4000/88,4 SLP=98,7 dB(A)";4200;"kW Nennleist. Rotor.";32507806;6060655;;;"im Gen.Verf.";"59179000031";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Enercon E-138";"Enercon";"111";"138";"HZ /dB(A) | 63/81,3 | 125/86,7 | 250/89,1 | 500/91,3 | 1000/93,0 | 2000/94,2 | 4000/89,4 SLP=99,2 dB(A)";4200;"kW Nennleist. Rotor.";32508203;6060643;;;"im Gen.Verf.";"59179000031";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Enercon E-138";"Enercon";"111";"138";"HZ /dB(A) | 63/83,0/ 125/88,5 | 250/91,1 | 500/93,3 | 1000/94,8 | 2000/95,6 | 4000/91,1 SLP=100,9 dB(A)";4200;"kW Nennleist. Rotor.";32508588;6060647;;;"im Gen.Verf.";"59179000031";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";" Nordex N149/5700";"Nordex";"104,7";"149";"HZ /dB(A) | 63/84,2 | 125/90,4 | 250/94,1 | 500/96,7 | 1000/97,4 | 2000/94,9 | 4000/87,3 | SLP=102,5 dB(A)";5700;"kW Nennleist. Rotor.";32514150;6056638;;;"im Gen.Verf.";"59179000034";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Nordex N149/5700";"Nordex";"104,7";"149";"HZ /dB(A) | 63/81,2 | 125/87,4 | 250/91,1 | 500/93,7 | 1000/94,4 | 2000/91,9 | 4000/84,3 | SLP=99,5 dB(A)";5700;"kW Nennleist. Rotor.";32514517;6056804;;;"im Gen.Verf.";"59179000034";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Nordex N133";"Nordex";"110";"133,2";"HZ /dB(A) | 63/86,2 | 125/93,2 | 250/97,0 | 500/97,9 | 1000/98,4 | 2000/97,1 | 4000/92,8 | 8000/83,6 | SLP=104,5 dB(A)";4800;"kW Nennleist. Rotor.";32512962;6056950;03.08.21;;"vor Inbetriebnahme";"59179000035";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Nordex N133";"Nordex";"110";"133,2";"HZ /dB(A) | 63/82,7 | 125/89,7 | 250/93,5 | 500/94,4 | 1000/94,9 | 2000/93,6 | 4000/89,3 | 8000/80,1 | SLP=101,0 dB(A)";4800;"kW Nennleist. Rotor.";32513293;6057247;03.08.21;;"vor Inbetriebnahme";"59179000035";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Nordex N117";"Nordex";"91";"116,8";"HZ /dB(A) | 63/76,5 | 125/83,7 | 250/86,9 | 500/87,1 | 1000/88,3 | 2000/90,4 | 4000/86,6 | 8000/75,8 | SLP=95,5 dB(A)";3600;"kW Nennleist. Rotor.";32514072;6057823;03.08.21;;"vor Inbetriebnahme";"59179000035";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";;"Hersteller nicht bekannt";"109,5";"132";"HZ /dB(A) | 63/84,2 | 125/88,4 | 250/89,7 | 500/90,7 | 1000/91,9 | 2000/89,6 | 4000/83,3 | 8000/? | SLP=97,6 dB(A)";5000;"kW Nennleist. Rotor.";32512038;6060297;;;"im Gen.Verf.";"59179000037";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";;"Hersteller nicht bekannt";"106,5";"132";"HZ /dB(A) | 63/85 | 125/90,4 | 250/92,7 | 500/93,6 | 1000/94,9 | 2000/92,6 | 4000/86,3 | 8000/? | SLP=100,4 dB(A)";5000;"kW Nennleist. Rotor.";32512232;6059929;;;"im Gen.Verf.";"59179000037";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
